mission_time,metres
73.36,7877.879
73.43,7873.856
73.5,7874.914
73.57,7881.693
73.64,7895.478
73.71,7901.636
73.78,7883.388
73.85,7872.585
73.92,7860.95
73.99,7857.358
74.06,7855.879
74.2,7852.499
74.27,7852.71
74.34,7850.387
74.41,7849.332
74.48,7847.854
74.55,7846.166
74.62,7845.955
74.69,7845.955
74.76,7848.276
74.83,7846.799
74.9,7848.488
74.97,7852.288
75.04,7860.739
75.11,7868.987
75.18,7871.527
75.25,7862.008
75.32,7842.79
75.39,7833.093
75.46,7826.774
75.53,7824.88
75.6,7822.986
75.67,7818.568
75.74,7815.413
75.81,7811.84
75.88,7810.158
75.95,7809.528
76.02,7808.267
76.09,7804.906
76.16,7803.017
76.23,7800.078
76.3,7799.449
76.37,7799.239
76.44,7797.98
76.51,7796.302
76.58,7794.413
76.65,7791.897
76.72,7791.478
76.79,7791.688
76.86,7792.107
76.93,7790.429
77.0,7792.317
77.07,7800.288
77.14,7807.217
77.21,7811.629
77.28,7810.368
77.35,7803.647
77.42,7794.204
77.49,7782.258
77.56,7773.885
77.63,7771.584
77.7,7768.865
77.77,7767.193
77.84,7766.984
77.91,7765.939
77.98,7765.521
78.05,7766.148
78.12,7765.102
78.19,7763.012
78.26,7760.088
78.33,7758.626
78.4,7758.626
78.47,7764.475
78.54,7777.024
78.61,7791.268
78.68,7798.399
78.75,7796.092
78.82,7793.155
78.89,7785.61
78.96,7775.559
79.03,7760.297
79.1,7745.062
79.17,7733.185
79.24,7729.23
79.31,7726.109
79.38,7724.861
79.45,7722.573
79.52,7720.286
79.59,7718.831
79.66,7719.247
79.73,7718.831
79.8,7717.584
79.87,7715.922
79.94,7715.091
80.01,7711.767
80.08,7709.275
80.15,7707.822
80.22,7706.576
80.29,7705.539
80.36,7704.294
80.43,7702.219
80.5,7701.596
80.57,7698.693
80.64,7697.034
80.71,7695.997
80.78,7695.169
80.85,7694.547
80.92,7691.438
80.99,7688.331
81.06,7686.467
81.13,7685.846
81.2,7684.811
81.27,7683.155
81.34,7681.706
81.41,7681.499
81.48,7681.292
81.55,7679.43
81.62,7676.327
81.69,7676.12
81.76,7678.396
81.83,7687.917
81.9,7704.709
81.97,7721.949
82.04,7729.23
82.11,7730.687
82.18,7727.358
82.25,7720.494
82.32,7715.714
82.39,7713.429
82.46,7710.313
82.53,7705.331
82.6,7701.389
82.67,7699.315
82.74,7697.242
82.81,7700.767
82.88,7707.406
82.95,7708.237
83.02,7702.634
83.09,7696.619
83.16,7690.403
83.23,7689.159
83.3,7691.645
83.37,7693.303
83.44,7691.438
83.51,7688.538
83.58,7678.602
83.65,7667.439
83.72,7658.56
83.79,7652.783
83.86,7645.981
83.93,7638.154
84.0,7629.717
84.07,7624.782
84.14,7620.877
84.21,7616.974
84.28,7611.842
84.35,7611.021
84.42,7609.174
84.49,7606.713
84.56,7605.072
84.63,7603.431
84.7,7601.177
84.77,7598.922
84.84,7597.898
84.91,7595.439
84.98,7593.595
85.05,7592.777
85.12,7589.501
85.19,7588.477
85.26,7586.431
85.33,7585.203
85.4,7581.931
85.47,7582.748
85.54,7580.294
85.61,7578.659
85.68,7576.41
85.75,7574.367
85.82,7573.141
85.89,7570.486
85.96,7570.281
86.03,7567.423
86.1,7566.198
86.17,7564.157
86.24,7562.32
86.31,7561.708
86.38,7560.892
86.45,7559.669
86.52,7558.241
86.59,7556.201
86.66,7555.794
86.73,7554.774
86.8,7552.328
86.87,7553.144
86.94,7562.32
87.01,7574.776
87.08,7582.34
87.15,7578.659
87.22,7560.688
87.29,7542.756
87.36,7535.024
87.43,7532.584
87.5,7530.144
87.57,7528.315
87.64,7530.144
87.71,7530.754
87.78,7527.909
87.85,7534.211
87.92,7550.291
87.99,7564.565
88.06,7572.937
88.13,7576.41
88.2,7570.486
88.27,7551.717
88.34,7527.502
88.41,7509.64
88.48,7505.18
88.55,7504.37
88.62,7507.004
88.69,7507.613
88.76,7514.508
88.83,7537.058
88.9,7546.624
88.97,7546.217
89.04,7539.093
89.11,7526.283
89.18,7510.654
89.25,7497.281
89.32,7491.816
89.39,7490.197
89.46,7489.793
89.53,7491.209
89.6,7496.268
89.67,7500.318
89.74,7507.815
89.81,7514.914
89.88,7519.582
89.95,7524.455
90.02,7530.348
